Date,08106001-0
1992-04-01,116579519.99999996
1992-05-01,773418240.0
1992-06-01,587260800.0
1992-07-01,312603840.00000006
1992-08-01,196508160.0
1992-09-01,301440959.99999994
1992-10-01,471830400.0
1992-11-01,514857600.0
1992-12-01,380592000.0
1993-01-01,205735680.0000001
1993-02-01,90486720.0
1993-03-01,65197440.0
1993-04-01,91765440.00000004
1993-05-01,350827199.99999994
1993-06-01,1229981760.0
1993-07-01,466845120.0
1993-08-01,499340160.00000006
1993-09-01,356253120.0000001
1993-10-01,358283520.0
1993-11-01,338402880.0
1993-12-01,299082240.00000006
1994-01-01,155252160.0
1994-02-01,81682559.99999999
1994-03-01,64609920.000000015
1994-04-01,122878080.0
1994-05-01,195471360.0
1994-06-01,374526720.0
1994-07-01,674179200.0
1994-08-01,268194240.0
1994-09-01,466758720.0
1994-10-01,407030400.0
1994-11-01,311083200.0
1994-12-01,233193600.0
1995-01-01,116709120.00000006
1995-02-01,63028800.00000001
1995-03-01,51382079.99999999
1995-04-01,88102080.0
1995-05-01,96551999.99999996
1995-06-01,517276800.0
1995-07-01,463959360.0
1995-08-01,329814720.0
1995-09-01,502243200.0
1995-10-01,439862400.0
1995-11-01,471657600.0
1995-12-01,307687679.9999999
1996-01-01,134948160.0
1996-02-01,76956479.99999997
1996-03-01,72437759.99999999
1996-04-01,86546879.99999999
1996-05-01,68057280.0
1996-06-01,264677760.0000001
1996-07-01,173638080.0
1996-08-01,216069120.0
1996-09-01,208863360.0000001
1996-10-01,197553600.0
1996-11-01,144910080.0
1996-12-01,82114559.99999997
1997-01-01,52868159.99999999
1997-02-01,39579840.0
1997-03-01,36236159.99999999
1997-04-01,188524800.0
1997-05-01,303644159.99999994
1997-06-01,913161600.0
1997-07-01,411616512.0
1997-08-01,594307200.0
1997-09-01,605232000.0
1997-10-01,526348800.0
1997-11-01,479952000.0
1997-12-01,331032960.00000006
1998-01-01,170760960.0
1998-02-01,94080960.00000004
1998-03-01,70830720.0
1998-04-01,68878079.99999997
1998-05-01,101252160.00000004
1998-06-01,124398719.99999996
1998-07-01,138032639.99999997
1998-08-01,108725760.0
1998-09-01,119551680.0
1998-10-01,125815679.99999996
1998-11-01,71703360.00000004
1998-12-01,294381982.623644
1999-01-01,60370322.46459105
1999-02-01,36709607.49785203
1999-03-01,27287936.00000001
1999-04-01,22941051.42857144
1999-05-01,72446399.99999999
1999-06-01,194113986.2068965
1999-07-01,168022079.99999994
1999-08-01,289707839.99999994
1999-09-01,460080000.0
1999-10-01,403833600.0
1999-11-01,330393600.0
1999-12-01,193460831.99999988
2000-01-01,95212799.99999996
2000-02-01,97977600.0
2000-03-01,60013440.0
2000-04-01,47779200.0
2000-05-01,63935999.99999999
2000-06-01,262828800.0
2000-07-01,597095557.2241352
2000-08-01,330569975.1724139
2000-09-01,405129600.0
2000-10-01,500121931.0344828
2000-11-01,426384000.0
2000-12-01,372556800.0
2001-01-01,211014720.0000001
2001-02-01,108388800.00000006
2001-03-01,68765760.00000001
2001-04-01,57998234.48275865
2001-05-01,521780027.586207
2001-06-01,475519680.00000006
2001-07-01,907891200.0
2001-08-01,566697600.0
2001-09-01,343267200.0
2001-10-01,349833600.00000006
2001-11-01,288489600.00000006
2001-12-01,230186880.0000001
2002-01-01,113650559.99999993
2002-02-01,83376000.00000001
2002-03-01,184809600.0
2002-04-01,112043519.99999994
2002-05-01,292455359.99999994
2002-06-01,363553920.0000002
2002-07-01,317640959.99999994
2002-08-01,784192319.9999999
2002-09-01,448147862.0689655
2002-10-01,686016000.0
2002-11-01,552873600.0
2002-12-01,458870400.0
2003-01-01,257446080.00000012
2003-02-01,115050239.99999994
2003-03-01,80351999.99999999
2003-04-01,52850879.99999998
