Date,08106001-0
2003-05-01,64488959.99999998
2003-06-01,648648000.0
2003-07-01,368755200.0
2003-08-01,211222080.0
2003-09-01,258647040.0
2003-10-01,318461760.0
2003-11-01,275512320.0
2003-12-01,169819200.0000001
2004-01-01,94979520.0
2004-02-01,56367360.0
2004-03-01,38872224.00000001
2004-04-01,187535520.0
2004-05-01,119404799.99999996
2004-06-01,335465279.99999994
2004-07-01,400267748.5714285
2004-08-01,286709760.00000006
2004-09-01,376358400.0
2004-10-01,316560960.0
2004-11-01,339552000.0
2004-12-01,212924160.0
2005-01-01,107421120.0
2005-02-01,59055359.99999999
2005-03-01,52306559.99999998
2005-04-01,42068160.0
2005-05-01,247302720.00000003
2005-06-01,576884160.0
2005-07-01,604342079.9999999
2005-08-01,726464492.3076923
2005-09-01,409139586.08771074
2005-10-01,263075108.07378545
2005-11-01,449539200.0
2005-12-01,311074559.9999999
2006-01-01,180290880.0
2006-02-01,86495039.99999999
2006-03-01,63097919.99999999
2006-04-01,120856320.0
2006-05-01,221253120.00000003
2006-06-01,799433280.0000001
2006-07-01,870220800.0
2006-08-01,465177600.0
2006-09-01,463363200.0
2006-10-01,508204800.0
2006-11-01,374371200.0
2006-12-01,271330560.00000006
2007-01-01,159840000.00000003
2007-02-01,96837120.0
2007-03-01,73681920.0
2007-04-01,65275200.00000004
2007-05-01,61490879.99999998
2007-06-01,67374720.00000001
2007-07-01,246741120.00000003
2007-08-01,147242879.99999997
2007-09-01,206521920.0
2007-10-01,314470080.0
2007-11-01,262880640.0000001
2007-12-01,141894720.00000003
2008-01-01,77587200.00000001
2008-02-01,52030079.99999999
2008-03-01,44418240.000000015
2008-04-01,46301760.000000015
2008-05-01,792910080.0000001
2008-06-01,373377600.0
2008-07-01,351250560.00000006
2008-08-01,546220800.0
2008-09-01,347759999.99999994
2008-10-01,311783040.0
2008-11-01,277361280.0
2008-12-01,132865919.99999996
2009-01-01,70856640.00000001
2009-02-01,45722879.99999998
2009-03-01,39193920.00000001
2009-04-01,38128320.00000001
2009-05-01,285845759.9999999
2009-06-01,315057599.99999994
2009-07-01,435792959.9999998
2009-08-01,457427520.0
2009-09-01,416862720.0000001
2009-10-01,426107520.0
2009-11-01,377654400.0
2009-12-01,249160320.0000001
2010-01-01,126446400.00000004
2010-02-01,67677120.0
2010-03-01,63288000.00000003
2010-04-01,47649600.00000002
2010-05-01,48660479.99999999
2010-06-01,123638400.0
2010-07-01,158474879.99999994
2010-08-01,202590720.00000003
2010-09-01,226687680.0
2010-10-01,356676480.0
2010-11-01,345003840.0
2010-12-01,154526399.99999997
2011-01-01,87324480.00000001
2011-02-01,51891840.0
2011-03-01,47390400.00000001
2011-04-01,70796160.00000004
2011-05-01,72878400.00000001
2011-06-01,184982400.00000003
2011-07-01,235915200.0
2011-08-01,456770880.0
2011-09-01,427317120.0
2011-10-01,524707200.0
2011-11-01,459216000.0
2011-12-01,265144319.9999999
2012-01-01,105675840.00000004
2012-02-01,80377920.0
2012-03-01,61110720.00000004
2012-04-01,42672960.0
2012-05-01,239051520.00000003
2012-06-01,580331520.0
2012-07-01,306581760.00000006
2012-08-01,165291840.00000006
2012-09-01,186641280.0000001
2012-10-01,166570560.0000001
2012-11-01,120562559.99999996
2012-12-01,189786240.00000003
2013-01-01,106945920.00000004
2013-02-01,54518400.0
2013-03-01,44323199.99999996
2013-04-01,35769600.00000001
2013-05-01,74450879.99999999
2013-06-01,208630080.0
2013-07-01,415488959.9999999
2013-08-01,280903680.0
2013-09-01,454455359.9999999
2013-10-01,336579840.0
2013-11-01,262630080.0
2013-12-01,152262719.99999997
2014-01-01,80084159.99999996
2014-02-01,49835520.00000002
2014-03-01,46517760.0
2014-04-01,43390079.99999997
2014-05-01,113244480.0
2014-06-01,255078720.00000003
2014-07-01,306866880.0
2014-08-01,482468549.3400766
2014-09-01,359969208.30322254
2014-10-01,395406747.426039
2014-11-01,288848292.636844
2014-12-01,217313296.75722083
2015-01-01,96655679.99999996
2015-02-01,56868480.00000002
2015-03-01,48081600.00000002
2015-04-01,41394239.99999999
2015-05-01,46058559.99999999
2015-06-01,131932800.00000006
2015-07-01,324414720.0
2015-08-01,606960000.0
2015-09-01,413052480.00000006
2015-10-01,404784000.0
2015-11-01,348537600.0
2015-12-01,193121280.0
2016-01-01,88551360.00000001
2016-02-01,54725760.00000001
2016-03-01,43865280.00000002
2016-04-01,62615314.28571427
2016-05-01,28539527.387073185
2016-06-01,69310080.00000003
2016-07-01,148703039.99999997
2016-08-01,255648960.0
2016-09-01,176065920.0
2016-10-01,233496000.00000003
2016-11-01,117072000.0
2016-12-01,67625279.99999997
2017-01-01,47511359.99999999
2017-02-01,34188479.999999985
2017-03-01,37445760.00000001
2017-04-01,44236800.0
2017-05-01,104181119.99999996
2017-06-01,280048320.0
2017-07-01,266198400.0000001
2017-08-01,238360320.00000003
2017-09-01,296792640.00000006
2017-10-01,520387200.0
2017-11-01,523670400.0
2017-12-01,271295999.99999994
2018-01-01,105105599.99999993
2018-02-01,54803520.00000001
2018-03-01,52090560.00000001
2018-04-01,75297599.99999996
2018-05-01,96629760.00000004
2018-06-01,231932160.0000001
2018-07-01,280635840.0000001
2018-08-01,159943679.99999997
2018-09-01,397025280.0
2018-10-01,420508800.0
2018-11-01,392342400.0
2018-12-01,193147200.0
2019-01-01,97372540.8
2019-02-01,53185334.40000002
2019-03-01,44094844.8
2019-04-01,35701862.40000001
2019-05-01,76818240.00000001
2019-06-01,234567360.0
2019-07-01,178200000.0000001
2019-08-01,276937920.00000006
2019-09-01,299134080.0
2019-10-01,322332480.0
2019-11-01,231569280.00000003
2019-12-01,103925980.8
2020-01-01,57983558.400000006
2020-02-01,38423030.4
2020-03-01,33432220.80000001
2020-04-01,31817059.2
2020-05-01,33490281.600000013
2020-06-01,180009907.2
2020-07-01,432216086.4000001
2020-08-01,246630355.2
2020-09-01,270662947.20000017
2020-10-01,421551734.40000015
2020-11-01,347988528.0000001
2020-12-01,148072320.00000006
2021-01-01,85195756.79999998
2021-02-01,54742003.200000025
2021-03-01,37395475.19999999
2021-04-01,31736102.399999987
2021-05-01,82753228.79999997
2021-06-01,205724534.39999992
2021-07-01,95043283.19999996
2021-08-01,250096550.4
2021-09-01,263217427.2
2021-10-01,245332281.6
2021-11-01,135541555.2
2021-12-01,64971935.99999997
2022-01-01,40451616.00000001
2022-02-01,28430265.6
2022-03-01,28230076.799999986
