Date,07332001-1,07335001-8,07335002-6,07335003-4,07336001-3,07350001-K,07350003-6,07354002-K,07355002-5,07357002-6,07358001-3,07359001-9,08104001-K,08105001-5,08106001-0,08114001-4,08117004-5,08117005-3,08123001-3,08124001-9,08124002-7,08130001-1,08130002-K,08132001-2,08134003-K,08135002-7,08141001-1,08144001-8,08376001-K,08380001-1,08383001-8
1986-04-01,50304671.99999999,79177823.99999999,8798889.6,45162144.0,3205440.0,78002784.0,62014464.0,115215188.16569993,51628319.99999999,221253120.00000003,54518400.00000001,464676480.0,47381760.0,93589075.86206897,135008639.99999997,51103008.0,16651008.000000006,20354975.999999996,51140160.00000001,79116480.0,38589696.00000001,2116972.8,16365888.000000002,33347721.599999998,21547295.999999996,126385920.00000001,495936000.0,2194992.0,18993312.0,212286194.97034413,345971520.0
1986-05-01,422807040.00000006,754980480.0000001,50842857.599999994,270902880.00000006,91760515.19999999,278936228.57142854,330930144.0,422320019.9927207,127402848.00000001,1886112000.0,180403200.0,3040545600.0,226540800.0,521424000.0,784641600.0,383745600.0,102158496.00000004,215238816.00000003,243590112.00000003,371632320.0,264492000.0,23376988.8,148601952.0,378829440.00000006,99193651.2,893842560.0,2490393600.0,193060540.79999998,110035584.00000001,599233040.612122,856310400.0
1986-06-01,632776320.0,1033378560.0,47813760.00000001,329230285.71428573,146197737.93103454,587355840.0,547257600.0,562007718.4065267,195594171.4285714,2831500800.0,195526179.31034482,4662489600.0,332836820.2766522,901497600.0,1167696000.0,546445440.0,161092800.0000001,353635200.0,529243199.99999994,769055040.0,589429440.0,45619199.99999999,190632960.0,650505600.0,117081600.00000001,1660521600.0,4615315200.0,311023583.99999994,148590720.00000003,753346967.8089603,1416096000.0
1986-07-01,171737280.00000003,223041600.0,7749215.999999997,126722880.00000003,28931903.999999993,172825920.00000003,113149440.00000001,52101975.6216781,56358720.00000001,562170240.0,32942591.999999996,1030579200.0,93605462.06896554,225287999.99999988,346904640.00000006,140097600.00000003,45740160.00000001,78632640.0,111386880.0,191989439.99999994,142179840.00000003,19417536.0,41823647.99999999,203653440.0,40221792.0,502502400.0,1340841600.0,19599840.000000004,41888448.00000001,168325096.25396204,554601600.0
1986-08-01,238273919.99999997,340744320.0,12970368.000000006,173966399.99999997,61122815.99999999,221546879.99999997,148936320.00000003,131235011.52937272,90076320.0,1001289600.0,134770176.0,1762473600.0,107749439.99999999,251069759.99999997,394908480.00000006,194797439.99999994,67633920.0,112950720.0,179884800.00000003,296671680.0,234947520.00000003,17697312.0,66313728.00000001,260513280.00000006,67673664.0,724809600.0,1754438400.0,135832896.0,73733759.99999999,248986814.14605477,583804800.0
1986-09-01,106159680.00000006,135406080.0,2444811.4285714277,71979840.00000001,21107520.0,96819840.00000001,65076479.99999999,153941876.13547406,31582656.00000001,338731199.99999994,20527776.0,612835200.0,75055680.0,173577600.00000003,330048000.0,107205120.00000003,38050560.0,60480000.0,114989760.00000003,184576320.00000003,141765120.00000003,12274848.0,32544287.999999996,152314560.00000003,29463264.000000004,419126400.0,980726400.0,16975008.000000004,43476480.0,391912047.2981,407635200.0
1986-10-01,40853376.0,73016640.00000001,3942518.4,61369919.99999999,11992320.000000004,102539520.0,79945919.99999997,93685818.81441496,36528192.0,187989120.00000003,35418816.0,420914880.0,118186560.00000001,293466239.99999994,379911908.57142854,79159680.0,30913919.999999985,37171008.0,82080000.00000001,98038080.00000004,70015968.00000001,9364031.999999998,32842368.0,93692159.99999999,20065536.0,243881280.00000003,708739200.0,7571577.6000000015,37501920.00000001,275406314.9554461,344468159.99999994
1986-11-01,128711808.0,209122560.0,15591744.000000006,118696320.0,12420000.000000002,196973485.7142857,148521599.99999997,154923840.0,69603840.0,442506240.00000006,63771840.000000015,876432960.0,117313920.00000001,316846080.00000006,269814240.0,163969920.00000003,63290592.000000015,89406720.0,152703360.0,172895040.0,133434432.00000001,11221632.0,66756960.0,592704.0000000003,30849984.000000004,360961920.0,713711668.9655173,5269363.2,62745407.99999999,353428408.3198772,394994880.0
1986-12-01,35296128.0,65154240.0,3244492.7999999993,44113248.00000001,6543072.000000002,97614720.00000001,78675839.99999999,106107840.00000001,40564799.99999999,160678079.99999997,28721088.0,376868160.00000006,85726080.0,274129919.9999999,313447795.20000017,77406624.0,42828479.99999999,32583168.0,86641920.0,95410656.0,62080128.000000015,8521632.0,44504115.24350306,63922533.297309995,12684384.0,203100479.99999997,703975517.9861894,772848.0000000002,34867584.0,147317298.90734452,324898560.00000006
1987-01-01,5730048.000000002,18664128.0,2198361.5999999996,12007871.999999994,2128636.8000000003,58008815.89924518,37722240.0,25539828.49616755,56713140.00000001,29952557.332544446,31831487.999999996,125072639.99999999,36780480.00000001,263692799.99999997,155321279.99999997,11341728.0,19552320.0,5139936.0,41817600.0,17009568.000000004,5695756.137931035,2716934.4000000004,17609184.000000004,6691593.599999999,3121228.8000000003,42635793.28,95339394.78260867,158544.0000000001,10114847.999999996,194544609.89358398,166155840.0
1987-02-01,3463776.0000000005,15872544.000000004,4488998.399999999,7355335.679999998,1378425.5999999999,55019520.00000001,22687257.6,22073472.0,49562522.386206895,35104319.99999999,42370560.0,109062720.0,22422528.0,67884480.0,89665920.0,4700160.000000001,15355872.0,3146687.9999999995,40296959.99999999,11829888.000000002,6225330.282597339,1900454.4000000001,12930624.0,2609712.0,1603670.3999999994,45764123.677442215,42085439.99999999,88300.80000000002,8945856.0,218252311.20014748,195963840.00000003
1987-03-01,8308224.0,23982048.0,7204896.0,8633779.200000001,1558483.1999999997,33787059.428571425,19263744.000000007,24265439.999999996,36535968.0,61776000.0,45740160.0,170968319.99999997,22342175.999999996,185431679.99999994,82918080.00000001,10407743.999999998,16746911.999999996,8466336.0,44539200.00000001,29709449.761952244,11407232.921039118,2325283.1999999997,13285728.0,6406560.000000001,4774464.0,46785219.84,97519680.0,192366.5142857144,8613216.000000002,165126545.67380792,239466240.0
1987-04-01,10582272.0,22362912.0,2167862.4000000004,9639648.0,2158531.2,19579967.999999996,13986617.142857138,20031104.781825062,27554687.999999996,66761279.99999999,30732480.0,168531840.0,19688832.0,150085440.0,62639999.99999997,19318176.0,13878431.999999996,12470112.000000002,24440639.999999996,29903039.999999996,10556352.0,2278972.8000000003,10906272.000000002,17864928.0,12081312.000000002,62683200.0,187125119.99999997,224899.19999999998,5068224.000000001,2710218.1967533925,275762880.0
1987-05-01,40098240.0,87666624.0,12890157.12,26996544.000000004,4507228.8,39216960.0,91699283.58407064,61825052.43324483,27355104.0,121990818.46153845,32349024.000000007,338791680.0,25794719.999999996,103887359.99999996,82771200.00000001,47698847.99999999,16805663.999999996,18674496.0,32464800.0,54194399.99999999,30335904.0,2162678.4,18393696.0,56523743.99999999,20297088.0,141333120.0,341884800.00000006,2014502.4,12322367.999999998,335918247.7548826,343941120.0
1987-06-01,114315839.99999997,192715200.0,15727584.0,79264223.99999996,10111391.999999996,88413120.0,100291260.76664017,50958719.99999999,32504544.000000007,614050524.8714863,36639648.00000001,717975360.0000001,61032959.99999997,148953600.00000006,245125440.0,99696959.99999999,34055424.00000002,0.0,90616319.99999996,137842560.00000006,107764992.00000003,5019235.200000001,47282400.00000001,136434240.0,28065997.241379306,370154880.0,1152835200.0,8651404.799999999,52317792.00000001,419148316.14231443,482976000.0
1987-07-01,449331839.99999994,717560640.0,48338294.39999998,304603199.99999994,243375840.0,368625600.0,432859789.4303865,452383971.02431446,231955620.92307693,2514686122.2134595,219586838.4,3792104640.0,186100416.0,145255680.00000003,713335680.0000001,327706560.00000006,118780991.99999993,0.0,264401279.99999997,453703680.0,297138239.99999994,20617199.999999996,125610912.00000003,296714880.0,206377185.1034482,1186479360.0,2897942400.0,410827420.8,80718336.0,487393918.64467967,767836800.0
1987-08-01,299298239.99999994,429563519.99999994,26593919.999999993,206565119.99999994,111888000.0,237409920.0000001,63033120.00000001,308892305.5005034,88201255.3074483,1340928000.0,101406815.99999999,2168035200.0,121227840.00000003,149739840.00000006,430099200.0,352030663.69439304,80274240.00000001,0.0,261904319.99999997,485179200.0,317485440.0,19505664.000000004,77440320.0,339612480.0,229098239.99999994,1117843200.0,2639347200.0,250864128.00000003,75340800.00000001,602274232.9130932,631411200.0
1987-09-01,464374080.00000006,249626880.00000003,14396325.51724138,147674879.9999999,28876608.000000004,180645120.00000003,92010815.99999999,175383360.0,61473599.99999999,707702400.0000001,72982080.00000003,1236816000.0,108630719.99999997,166916159.99999994,342662399.99999994,144970560.00000003,41359679.99999999,0.0,149238719.99999997,241280640.0,190516784.40838867,14453856.000000002,51001920.000000015,229487040.00000003,59646240.0,582768000.0,1579651200.0,28623456.0,47157119.99999999,347556137.23533267,436924800.0
1987-10-01,201156480.00000006,227586240.00000003,5889369.599999999,178761599.9999999,22625567.999999996,223232549.60951483,175678208.76863003,215948160.00000006,88585919.99999997,583632000.0,62449920.00000001,1065744000.0,207472320.00000006,190874880.00000003,669254400.0,146378880.00000003,52436159.999999985,0.0,180437759.99999997,240667199.99999997,187583040.0,19909151.999999996,72351360.00000003,212924160.0000001,36777023.99999999,579657600.0,1701648000.0,20096640.000000004,64739520.00000001,337033359.9449704,491011200.0
